"Quantity","Value"
"{220}.lattice.spacing.of.silicon",1.92E-010
"alpha.particle-electron.mass.ratio",7.29E+003
"alpha.particle.mass",6.64E-027
"alpha.particle.mass.energy.equivalent",5.97E-010
"alpha.particle.mass.energy.equivalent.in.MeV",3.73E+003
"alpha.particle.mass.in.u",4.00E+000
"alpha.particle.molar.mass",4.00E-003
"alpha.particle-proton.mass.ratio",3.97E+000
"Angstrom.star",1.00E-010
"atomic.mass.constant",1.66E-027
"atomic.mass.constant.energy.equivalent",1.49E-010
"atomic.mass.constant.energy.equivalent.in.MeV",9.31E+002
"atomic.mass.unit-electron.volt.relationship",9.31E+008
"atomic.mass.unit-hartree.relationship",3.42E+007
"atomic.mass.unit-hertz.relationship",2.25E+023
"atomic.mass.unit-inverse.meter.relationship",7.51E+014
"atomic.mass.unit-joule.relationship",1.49E-010
"atomic.mass.unit-kelvin.relationship",1.08E+013
"atomic.mass.unit-kilogram.relationship",1.66E-027
"atomic.unit.of.1st.hyperpolarizability",3.21E-053
"atomic.unit.of.2nd.hyperpolarizability",6.24E-065
"atomic.unit.of.action",1.05E-034
"atomic.unit.of.charge",1.60E-019
"atomic.unit.of.charge.density",1.08E+012
"atomic.unit.of.current",6.62E-003
"atomic.unit.of.electric.dipole.mom.",8.48E-030
"atomic.unit.of.electric.field",5.14E+011
"atomic.unit.of.electric.field.gradient",9.72E+021
"atomic.unit.of.electric.polarizability",1.65E-041
"atomic.unit.of.electric.potential",2.72E+001
"atomic.unit.of.electric.quadrupole.mom.",4.49E-040
"atomic.unit.of.energy",4.36E-018
"atomic.unit.of.force",8.24E-008
"atomic.unit.of.length",5.29E-011
"atomic.unit.of.mag..dipole.mom.",1.85E-023
"atomic.unit.of.mag..flux.density",2.35E+005
"atomic.unit.of.magnetizability",7.89E-029
"atomic.unit.of.mass",9.11E-031
"atomic.unit.of.momentum",1.99E-024
"atomic.unit.of.permittivity",1.11E-010
"atomic.unit.of.time",2.42E-017
"atomic.unit.of.velocity",2.19E+006
"Avogadro.constant",6.02E+023
"Bohr.magneton",9.27E-024
"Bohr.magneton.in.eV/T",5.79E-005
"Bohr.magneton.in.Hz/T",1.40E+010
